month,psa,cameras,property_crime,violent_crime,crimes
2018-01-01,101,0,56,3,59
2018-01-01,102,0,27,2,29
2018-01-01,103,0,17,0,17
2018-01-01,104,6,53,0,53
2018-01-01,105,1,24,3,27
2018-01-01,106,4,54,1,55
2018-01-01,107,7,50,1,51
2018-01-01,108,10,27,0,27
2018-01-01,201,3,16,0,16
2018-01-01,202,11,32,0,32
2018-01-01,203,1,26,1,27
2018-01-01,204,1,24,1,25
2018-01-01,205,2,30,1,31
2018-01-01,206,5,71,1,72
2018-01-01,207,0,91,5,96
2018-01-01,208,5,80,4,84
2018-01-01,301,2,47,1,48
2018-01-01,302,7,98,3,101
2018-01-01,303,3,47,2,49
2018-01-01,304,1,46,1,47
2018-01-01,305,3,90,2,92
2018-01-01,306,0,47,0,47
2018-01-01,307,1,65,4,69
2018-01-01,308,2,50,2,52
2018-01-01,401,5,52,0,52
2018-01-01,402,6,40,0,40
2018-01-01,403,7,41,1,42
2018-01-01,404,7,36,4,40
2018-01-01,405,8,28,1,29
2018-01-01,406,5,49,3,52
2018-01-01,407,12,21,1,22
2018-01-01,408,3,25,2,27
2018-01-01,409,8,42,3,45
2018-01-01,501,7,55,1,56
2018-01-01,502,8,42,2,44
2018-01-01,503,13,51,1,52
2018-01-01,504,1,22,1,23
2018-01-01,505,2,41,2,43
2018-01-01,506,5,48,8,56
2018-01-01,507,8,42,11,53
2018-01-01,601,2,14,6,20
2018-01-01,602,1,64,7,71
2018-01-01,603,2,66,9,75
2018-01-01,604,3,46,5,51
2018-01-01,605,5,27,7,34
2018-01-01,606,0,23,1,24
2018-01-01,607,1,43,4,47
2018-01-01,608,1,33,5,38
2018-01-01,701,3,21,4,25
2018-01-01,702,0,10,9,19
2018-01-01,703,1,21,5,26
2018-01-01,704,3,30,4,34
2018-01-01,705,1,20,3,23
2018-01-01,706,0,19,8,27
2018-01-01,707,1,23,2,25
2018-01-01,708,3,30,3,33
2018-02-01,101,0,59,1,60
2018-02-01,102,0,30,2,32
2018-02-01,103,0,16,1,17
2018-02-01,104,11,47,2,49
2018-02-01,105,0,13,2,15
2018-02-01,106,2,53,0,53
2018-02-01,107,4,28,1,29
2018-02-01,108,15,17,1,18
2018-02-01,201,3,12,0,12
2018-02-01,202,5,29,0,29
2018-02-01,203,1,26,1,27
2018-02-01,204,2,21,1,22
2018-02-01,205,2,16,0,16
2018-02-01,206,1,62,5,67
2018-02-01,207,1,76,3,79
2018-02-01,208,1,48,5,53
2018-02-01,301,0,39,1,40
2018-02-01,302,3,67,1,68
2018-02-01,303,1,32,4,36
2018-02-01,304,0,48,3,51
2018-02-01,305,1,69,4,73
2018-02-01,306,2,39,1,40
2018-02-01,307,0,57,2,59
2018-02-01,308,2,45,5,50
2018-02-01,401,4,62,1,63
2018-02-01,402,3,40,2,42
2018-02-01,403,10,23,2,25
2018-02-01,404,9,37,1,38
2018-02-01,405,5,39,1,40
2018-02-01,406,6,31,0,31
2018-02-01,407,6,15,2,17
2018-02-01,408,1,32,1,33
2018-02-01,409,6,28,2,30
2018-02-01,501,5,69,6,75
2018-02-01,502,5,45,0,45
2018-02-01,503,7,41,2,43
2018-02-01,504,2,32,1,33
2018-02-01,505,1,39,3,42
2018-02-01,506,3,51,5,56
2018-02-01,507,4,46,10,56
2018-02-01,601,1,11,3,14
2018-02-01,602,2,48,7,55
2018-02-01,603,2,46,8,54
2018-02-01,604,3,47,7,54
2018-02-01,605,2,20,2,22
2018-02-01,606,2,14,3,17
2018-02-01,607,1,25,4,29
2018-02-01,608,3,18,4,22
2018-02-01,701,2,20,2,22
2018-02-01,702,1,14,7,21
2018-02-01,703,1,20,4,24
