month,PSA,OFFENSE,crimes
2017-01-01,101,arson,0
2017-01-01,101,assault w/dangerous weapon,0
2017-01-01,101,burglary,1
2017-01-01,101,homicide,0
2017-01-01,101,motor vehicle theft,0
2017-01-01,101,robbery,0
2017-01-01,101,sex abuse,0
2017-01-01,101,theft f/auto,9
2017-01-01,101,theft/other,17
2017-01-01,102,arson,0
2017-01-01,102,assault w/dangerous weapon,2
2017-01-01,102,burglary,0
2017-01-01,102,homicide,0
2017-01-01,102,motor vehicle theft,0
2017-01-01,102,robbery,0
2017-01-01,102,sex abuse,0
2017-01-01,102,theft f/auto,3
2017-01-01,102,theft/other,10
2017-01-01,103,arson,0
2017-01-01,103,assault w/dangerous weapon,0
2017-01-01,103,burglary,0
2017-01-01,103,homicide,0
2017-01-01,103,motor vehicle theft,0
2017-01-01,103,robbery,0
2017-01-01,103,sex abuse,0
2017-01-01,103,theft f/auto,5
2017-01-01,103,theft/other,1
2017-01-01,104,arson,0
2017-01-01,104,assault w/dangerous weapon,0
2017-01-01,104,burglary,1
2017-01-01,104,homicide,0
2017-01-01,104,motor vehicle theft,1
2017-01-01,104,robbery,1
2017-01-01,104,sex abuse,0
2017-01-01,104,theft f/auto,14
2017-01-01,104,theft/other,11
2017-01-01,105,arson,0
2017-01-01,105,assault w/dangerous weapon,1
2017-01-01,105,burglary,0
2017-01-01,105,homicide,0
2017-01-01,105,motor vehicle theft,2
2017-01-01,105,robbery,1
2017-01-01,105,sex abuse,0
2017-01-01,105,theft f/auto,1
2017-01-01,105,theft/other,7
2017-01-01,106,arson,0
2017-01-01,106,assault w/dangerous weapon,0
2017-01-01,106,burglary,0
2017-01-01,106,homicide,0
2017-01-01,106,motor vehicle theft,0
2017-01-01,106,robbery,0
2017-01-01,106,sex abuse,0
2017-01-01,106,theft f/auto,7
2017-01-01,106,theft/other,28
2017-01-01,107,arson,0
2017-01-01,107,assault w/dangerous weapon,0
2017-01-01,107,burglary,0
2017-01-01,107,homicide,0
2017-01-01,107,motor vehicle theft,0
2017-01-01,107,robbery,2
2017-01-01,107,sex abuse,0
2017-01-01,107,theft f/auto,5
2017-01-01,107,theft/other,6
2017-01-01,108,arson,0
2017-01-01,108,assault w/dangerous weapon,0
2017-01-01,108,burglary,1
2017-01-01,108,homicide,0
2017-01-01,108,motor vehicle theft,1
2017-01-01,108,robbery,1
2017-01-01,108,sex abuse,0
2017-01-01,108,theft f/auto,5
2017-01-01,108,theft/other,6
2017-01-01,201,arson,0
2017-01-01,201,assault w/dangerous weapon,0
