month,PSA,cameras
2016-03-01,101,0
2016-03-01,102,0
2016-03-01,103,0
2016-03-01,104,9
2016-03-01,105,1
2016-03-01,106,0
2016-03-01,107,20
2016-03-01,108,19
2016-03-01,201,0
2016-03-01,202,3
2016-03-01,203,0
2016-03-01,204,0
2016-03-01,205,0
2016-03-01,206,0
2016-03-01,207,0
2016-03-01,208,1
2016-03-01,301,0
2016-03-01,302,9
2016-03-01,303,0
2016-03-01,304,0
2016-03-01,305,3
2016-03-01,306,0
2016-03-01,307,0
2016-03-01,308,0
2016-03-01,401,0
2016-03-01,402,3
2016-03-01,403,7
2016-03-01,404,0
2016-03-01,405,2
2016-03-01,406,0
2016-03-01,407,0
2016-03-01,408,0
2016-03-01,409,5
2016-03-01,501,7
2016-03-01,502,12
2016-03-01,503,9
2016-03-01,504,8
2016-03-01,505,1
2016-03-01,506,8
2016-03-01,507,11
2016-03-01,601,0
2016-03-01,602,0
2016-03-01,603,1
2016-03-01,604,0
2016-03-01,605,0
2016-03-01,606,0
2016-03-01,607,0
2016-03-01,608,0
2016-03-01,701,3
2016-03-01,702,0
2016-03-01,703,0
2016-03-01,704,2
2016-03-01,705,2
2016-03-01,706,1
2016-03-01,707,0
2016-03-01,708,0
2016-04-01,101,0
2016-04-01,102,0
2016-04-01,103,0
2016-04-01,104,8
2016-04-01,105,0
2016-04-01,106,4
2016-04-01,107,1
2016-04-01,108,8
2016-04-01,201,0
2016-04-01,202,0
2016-04-01,203,0
2016-04-01,204,0
2016-04-01,205,0
2016-04-01,206,0
2016-04-01,207,0
2016-04-01,208,0
2016-04-01,301,0
2016-04-01,302,6
2016-04-01,303,1
2016-04-01,304,0
2016-04-01,305,1
2016-04-01,306,0
2016-04-01,307,1
2016-04-01,308,2
2016-04-01,401,0
2016-04-01,402,2
2016-04-01,403,3
2016-04-01,404,6
2016-04-01,405,2
2016-04-01,406,4
2016-04-01,407,8
2016-04-01,408,0
2016-04-01,409,2
2016-04-01,501,2
2016-04-01,502,8
2016-04-01,503,7
2016-04-01,504,5
2016-04-01,505,4
2016-04-01,506,0
2016-04-01,507,4
2016-04-01,601,0
2016-04-01,602,1
2016-04-01,603,1
2016-04-01,604,1
2016-04-01,605,0
2016-04-01,606,0
2016-04-01,607,1
2016-04-01,608,1
2016-04-01,701,3
2016-04-01,702,1
2016-04-01,703,0
2016-04-01,704,1
2016-04-01,705,1
2016-04-01,706,0
2016-04-01,707,1
2016-04-01,708,1
2016-05-01,101,0
2016-05-01,102,0
2016-05-01,103,0
2016-05-01,104,8
2016-05-01,105,1
2016-05-01,106,4
2016-05-01,107,6
2016-05-01,108,10
2016-05-01,201,0
2016-05-01,202,3
2016-05-01,203,0
2016-05-01,204,0
2016-05-01,205,0
2016-05-01,206,0
2016-05-01,207,0
2016-05-01,208,2
2016-05-01,301,0
2016-05-01,302,1
2016-05-01,303,1
2016-05-01,304,0
2016-05-01,305,0
2016-05-01,306,0
2016-05-01,307,0
2016-05-01,308,1
2016-05-01,401,0
2016-05-01,402,2
2016-05-01,403,1
2016-05-01,404,3
2016-05-01,405,0
2016-05-01,406,0
